============================================================
               PEAK PERFORMANCE SUMMARY
============================================================
Chi2_RF    | Peak Accuracy: 0.9390 at k=140
Chi2_DT    | Peak Accuracy: 0.9245 at k=157
Pearson_RF | Peak Accuracy: 0.9392 at k=157
Pearson_DT | Peak Accuracy: 0.9244 at k=110

--- FULL ITERATIVE TABLE ---
 No_of_Permissions  Chi2_RF  Chi2_DT  Pearson_RF  Pearson_DT
                10   0.8998   0.9000      0.8967      0.8964
                20   0.9140   0.9088      0.9066      0.9021
                30   0.9228   0.9141      0.9244      0.9138
                40   0.9261   0.9147      0.9271      0.9139
                50   0.9323   0.9203      0.9339      0.9201
                60   0.9340   0.9210      0.9346      0.9201
                70   0.9340   0.9221      0.9348      0.9217
                80   0.9349   0.9225      0.9380      0.9229
                90   0.9345   0.9218      0.9391      0.9230
               100   0.9375   0.9236      0.9389      0.9242
               110   0.9380   0.9235      0.9385      0.9244
               120   0.9381   0.9234      0.9390      0.9237
               130   0.9380   0.9237      0.9383      0.9244
               140   0.9390   0.9236      0.9384      0.9240
               150   0.9384   0.9240      0.9388      0.9241

               157   0.9384   0.9245      0.9392      0.9238
